dim_1,dim_2,ava_s_1,ava_s_2
0.0,0.0,1.0,0.0
0.0,1.0,0.0,7.0
0.0,0.0,3.0,3.0
0.0,0.0,0.0,0.0
7.0,0.0,38.0,2.0
0.0,0.0,2.0,5.0
0.0,0.0,3.0,7.0
0.0,0.0,0.0,4.0
3.0,0.0,27.0,0.0
0.0,0.0,0.0,2.0
1.0,0.0,6.0,1.0
0.0,0.0,2.0,0.0
0.0,0.0,10.0,2.0
0.0,0.0,0.0,2.0
0.0,4.0,2.0,13.0
0.0,0.0,4.0,2.0
1.0,0.0,17.0,14.0
0.0,0.0,0.0,0.0
0.0,1.0,2.0,4.0
2.0,1.0,12.0,7.0
0.0,0.0,2.0,0.0
0.0,2.0,0.0,6.0
0.0,0.0,3.0,0.0
0.0,2.0,0.0,13.0
0.0,0.0,5.0,0.0
0.0,6.0,0.0,22.0
0.0,0.0,2.0,0.0
0.0,0.0,1.0,1.0
0.0,0.0,0.0,0.0
3.0,0.0,33.0,2.0
0.0,0.0,0.0,1.0
0.0,0.0,5.0,0.0
2.0,0.0,4.0,1.0
0.0,0.0,2.0,0.0
0.0,0.0,2.0,4.0
5.0,0.0,21.0,0.0
0.0,4.0,0.0,31.0
0.0,0.0,2.0,0.0
0.0,0.0,0.0,4.0
0.0,0.0,1.0,0.0
0.0,0.0,0.0,3.0
2.0,0.0,27.0,0.0
0.0,2.0,0.0,28.0
0.0,0.0,1.0,1.0
0.0,0.0,0.0,0.0
1.0,0.0,9.0,4.0
0.0,0.0,1.0,2.0
0.0,4.0,0.0,46.0
0.0,0.0,2.0,1.0
0.0,0.0,0.0,0.0
0.0,2.0,1.0,18.0
0.0,0.0,0.0,3.0
2.0,0.0,12.0,0.0
0.0,0.0,0.0,2.0
0.0,0.0,4.0,6.0
0.0,0.0,0.0,0.0
4.0,0.0,53.0,6.0
0.0,0.0,0.0,3.0
7.0,0.0,63.0,1.0
0.0,0.0,1.0,0.0
0.0,0.0,0.0,2.0
0.0,0.0,4.0,2.0
2.0,0.0,19.0,6.0
0.0,0.0,0.0,3.0
3.0,0.0,26.0,0.0
0.0,0.0,0.0,4.0
0.0,0.0,1.0,1.0
0.0,0.0,0.0,0.0
4.0,0.0,25.0,5.0
0.0,5.0,3.0,30.0
0.0,0.0,0.0,2.0
0.0,0.0,2.0,1.0
0.0,0.0,1.0,0.0
0.0,0.0,0.0,1.0
0.0,0.0,5.0,0.0
0.0,0.0,1.0,1.0
0.0,0.0,0.0,0.0
0.0,6.0,2.0,39.0
0.0,0.0,0.0,0.0
0.0,0.0,2.0,2.0
0.0,0.0,4.0,0.0
0.0,0.0,0.0,2.0
0.0,0.0,1.0,1.0
0.0,0.0,0.0,0.0
1.0,5.0,12.0,28.0
0.0,2.0,0.0,7.0
0.0,0.0,1.0,0.0
